date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:38:29	127945/127945	---M--	200	added ('OK')	image/png	etag:%221f3c9-5581cbe43db80%22	https://www.monsterlab.vn/wp-content/uploads/2017/08/monster-lab-digital-painting-slider2-310x464.png	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2017/08/monster-lab-digital-painting-slider2-310x464.png	(from https://www.monsterlab.vn/portfolio-posts/digital-painting/)
15:38:29	6778/6778	---M--	200	added ('OK')	image/jpeg	etag:%221a7a-583fa759f7380%22	https://www.monsterlab.vn/wp-content/uploads/2017/07/nht-h-150x150.jpg	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2017/07/nht-h-150x150.jpg	(from https://www.monsterlab.vn/portfolio-posts/digital-painting/)
15:38:29	6800/6800	---M--	200	added ('OK')	image/jpeg	etag:%221a90-583faceca9980%22	https://www.monsterlab.vn/wp-content/uploads/2017/09/16998732_790728867743439_6812199910175540354_n-150x150.jpg	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2017/09/16998732_790728867743439_6812199910175540354_n-150x150.jpg	(from https://www.monsterlab.vn/portfolio-posts/digital-painting/)
15:38:30	255016/255016	---M--	200	added ('OK')	image/jpeg	etag:%223e428-58a12dac5e500%22	https://www.monsterlab.vn/wp-content/uploads/2017/05/55446946_2375337599410866_6839940086956556288_o-1.jpg	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2017/05/55446946_2375337599410866_6839940086956556288_o-1.jpg	(from https://www.monsterlab.vn/portfolio-posts/digital-painting/)
15:38:30	78961/78961	---M--	200	added ('OK')	image/jpeg	etag:%2213471-58a12c513b200%22	https://www.monsterlab.vn/wp-content/uploads/2017/05/war-plane-minh-h-dp7-1.jpg	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2017/05/war-plane-minh-h-dp7-1.jpg	(from https://www.monsterlab.vn/portfolio-posts/digital-painting/)
15:38:30	78406/78406	---M--	200	added ('OK')	image/jpeg	etag:%2213246-58a12c4b82480%22	https://www.monsterlab.vn/wp-content/uploads/2017/05/tom-knight-dp9-2-1.jpg	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2017/05/tom-knight-dp9-2-1.jpg	(from https://www.monsterlab.vn/portfolio-posts/digital-painting/)
15:38:30	131413/131413	---M--	200	added ('OK')	image/jpeg	etag:%2220155-58a12c3e28500%22	https://www.monsterlab.vn/wp-content/uploads/2017/05/thc-trang-t-ha-dp9-1-1.jpg	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2017/05/thc-trang-t-ha-dp9-1-1.jpg	(from https://www.monsterlab.vn/portfolio-posts/digital-painting/)
15:38:30	69389/69389	---M--	200	added ('OK')	image/jpeg	etag:%2210f0d-58a12c43e1280%22	https://www.monsterlab.vn/wp-content/uploads/2017/05/tom-knight-dp9-1-1.jpg	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2017/05/tom-knight-dp9-1-1.jpg	(from https://www.monsterlab.vn/portfolio-posts/digital-painting/)
15:38:31	126556/126556	---M--	200	added ('OK')	image/jpeg	etag:%221ee5c-583fac358e980%22	https://www.monsterlab.vn/wp-content/uploads/2017/08/background1-1.jpg	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2017/08/background1-1.jpg	(from https://www.monsterlab.vn/portfolio-posts/mau-nuoc-co-ban/)
15:38:33	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2008%20Aug%202021%2007:39:26%20GMT	https://www.monsterlab.vn/course-posts/mau-nuoc-co-ban/	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/course-posts/mau-nuoc-co-ban/index.html	(from https://www.monsterlab.vn/portfolio-posts/mau-nuoc-co-ban/)
15:38:33	132299/132299	---M-Z	200	added ('OK')	text/html	etag:%221c70b077c9b963ab361d07b64c87ec56-gzip%22	https://www.monsterlab.vn/portfolio-posts/motion-graphics/	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/portfolio-posts/motion-graphics/index.html	(from https://www.monsterlab.vn/portfolio-posts/digital-painting/)
15:38:33	2704/2704	---M-Z	200	added ('OK')	application/json	date:Sun,%2008%20Aug%202021%2007:39:26%20GMT	https://www.monsterlab.vn/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.monsterlab.vn%2Fportfolio-posts%2Fmau-nuoc-co-ban%2F	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-json/oembed/1.0/embed4f2f.json	(from https://www.monsterlab.vn/portfolio-posts/mau-nuoc-co-ban/)
15:38:34	162052/162052	---M-Z	200	added ('OK')	text/html	etag:%22ceca3a52b136f0a7945c1866d842296c-gzip%22	https://www.monsterlab.vn/portfolio-posts/dot-pha-tu-duy-thiet-ke/	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/portfolio-posts/dot-pha-tu-duy-thiet-ke/index.html	(from https://www.monsterlab.vn/portfolio-posts/digital-painting/)
15:38:34	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2008%20Aug%202021%2007:39:28%20GMT	https://www.monsterlab.vn/?p=2061	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/index59b0.html	(from https://www.monsterlab.vn/portfolio-posts/mau-nuoc-co-ban/)
15:38:34	3241/3241	---M-Z	200	added ('OK')	text/xml	date:Sun,%2008%20Aug%202021%2007:39:28%20GMT	https://www.monsterlab.vn/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.monsterlab.vn%2Fportfolio-posts%2Fmau-nuoc-co-ban%2F&format=xml	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-json/oembed/1.0/embed14da	(from https://www.monsterlab.vn/portfolio-posts/mau-nuoc-co-ban/)
15:38:34	124215/124215	---MCZ	200	added ('OK')	application/pdf	date:Sun,%2008%20Aug%202021%2007:39:29%20GMT	https://www.monsterlab.vn/wp-content/uploads/2017/07/mau-nuoc-co-ban.pdf	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2017/07/mau-nuoc-co-ban.pdf	(from https://www.monsterlab.vn/portfolio-posts/mau-nuoc-co-ban/)
15:38:35	160856/160856	---M--	200	added ('OK')	image/png	etag:%2227458-55803679c5c80%22	https://www.monsterlab.vn/wp-content/uploads/2017/08/slide_1-340x362.png	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2017/08/slide_1-340x362.png	(from https://www.monsterlab.vn/portfolio-posts/mau-nuoc-co-ban/)
15:38:35	146443/146443	---M--	200	added ('OK')	image/png	etag:%2223c0b-583f9f2d9ab00%22	https://www.monsterlab.vn/wp-content/uploads/2017/06/slide_2.png	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2017/06/slide_2.png	(from https://www.monsterlab.vn/portfolio-posts/mau-nuoc-co-ban/)
15:38:35	5133/5133	---M--	200	added ('OK')	image/jpeg	etag:%22140d-583fa744fc200%22	https://www.monsterlab.vn/wp-content/uploads/2017/07/inh-linh-chi-150x150.jpg	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2017/07/inh-linh-chi-150x150.jpg	(from https://www.monsterlab.vn/portfolio-posts/mau-nuoc-co-ban/)
15:38:35	148255/148255	---M--	200	added ('OK')	image/png	etag:%222431f-583f9f40ad800%22	https://www.monsterlab.vn/wp-content/uploads/2017/06/slide_3.png	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2017/06/slide_3.png	(from https://www.monsterlab.vn/portfolio-posts/mau-nuoc-co-ban/)
15:38:36	156554/156554	---M--	200	added ('OK')	image/jpeg	etag:%222638a-58a15c9e92780%22	https://www.monsterlab.vn/wp-content/uploads/2017/05/virgo-phan-2-1.jpg	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2017/05/virgo-phan-2-1.jpg	(from https://www.monsterlab.vn/portfolio-posts/mau-nuoc-co-ban/)
15:38:36	138656/138656	---M--	200	added ('OK')	image/jpeg	etag:%2221da0-58a15ca633980%22	https://www.monsterlab.vn/wp-content/uploads/2017/05/virgo-phan_mockup-1.jpg	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2017/05/virgo-phan_mockup-1.jpg	(from https://www.monsterlab.vn/portfolio-posts/mau-nuoc-co-ban/)
15:38:36	115492/115492	---M--	200	added ('OK')	image/jpeg	etag:%221c324-58a15c8f50380%22	https://www.monsterlab.vn/wp-content/uploads/2017/05/thy-nguyn-2-copy-1.jpg	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2017/05/thy-nguyn-2-copy-1.jpg	(from https://www.monsterlab.vn/portfolio-posts/mau-nuoc-co-ban/)
15:38:37	146073/146073	---M--	200	added ('OK')	image/jpeg	etag:%2223a99-58a15c87af180%22	https://www.monsterlab.vn/wp-content/uploads/2017/05/nguyn-mai-1.jpg	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2017/05/nguyn-mai-1.jpg	(from https://www.monsterlab.vn/portfolio-posts/mau-nuoc-co-ban/)
15:38:37	135674/135674	---M--	200	added ('OK')	image/jpeg	etag:%22211fa-58a15c800df80%22	https://www.monsterlab.vn/wp-content/uploads/2017/05/nguyn-linh-tho-1.jpg	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2017/05/nguyn-linh-tho-1.jpg	(from https://www.monsterlab.vn/portfolio-posts/mau-nuoc-co-ban/)
15:38:37	45119/45119	---M-Z	200	added ('OK')	text/css	etag:%221a0f-5c9059a2f23ed%22	https://www.monsterlab.vn/wp-content/cache/minify/35441.css	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/cache/minify/35441.css	(from https://www.monsterlab.vn/dang-ky-hoc/)
15:38:38	212/212	---M-Z	401	error ('Unauthorized')	application/json	date:Sun,%2008%20Aug%202021%2007:39:32%20GMT	https://www.monsterlab.vn/wp-json/wp/v2/pages/199	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-json/wp/v2/pages/199	(from https://www.monsterlab.vn/dang-ky-hoc/)
15:38:39	170427/170427	---M-Z	200	added ('OK')	text/html	etag:%22d6a2754fe6f5bc563e606cfc3431322d-gzip%22	https://www.monsterlab.vn/portfolio-posts/design-for-ads/	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/portfolio-posts/design-for-ads/index.html	(from https://www.monsterlab.vn/portfolio-posts/mau-nuoc-co-ban/)
15:38:39	3056/3056	---M-Z	200	added ('OK')	application/json	date:Sun,%2008%20Aug%202021%2007:39:33%20GMT	https://www.monsterlab.vn/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.monsterlab.vn%2Fdang-ky-hoc%2F	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-json/oembed/1.0/embedf483.json	(from https://www.monsterlab.vn/dang-ky-hoc/)
15:38:39	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2008%20Aug%202021%2007:39:34%20GMT	https://www.monsterlab.vn/?p=199	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/index5051.html	(from https://www.monsterlab.vn/dang-ky-hoc/)
15:38:40	3553/3553	---M-Z	200	added ('OK')	text/xml	date:Sun,%2008%20Aug%202021%2007:39:35%20GMT	https://www.monsterlab.vn/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.monsterlab.vn%2Fdang-ky-hoc%2F&format=xml	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-json/oembed/1.0/embedd95f	(from https://www.monsterlab.vn/dang-ky-hoc/)
15:38:41	488328/488328	---M-Z	200	added ('OK')	text/css	etag:%22b0bd-5c90602124d4f%22	https://www.monsterlab.vn/wp-content/cache/minify/2926b.css	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/cache/minify/2926b.css	(from https://www.monsterlab.vn/dang-ky-hoc/)
